,Project Developer,Project Type,Project Name,Credit Status,Estimated Annual Emission Reductions,Country
1037,Multiple Proponents,Energy demand,"Healthier, Happier Meals With Fuel And Time Savings In Rural Zambia",Registered,2116320,Zambia
1038,Multiple Proponents,Energy industries (renewable/non-renewable sources),"Solar Powered Irrigation Services by Claro Energy, India",Registered,91823,India
1039,Körfez Enerji Sanayi ve Ticaret Anonim Şirketi,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Kalyoncu Landfill Gas to Electricity Project.,Registration request denied,1224706,Turkey
1040,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Anlu City,Inactive,57504,China
1041,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Dujiangyan City,Inactive,56045,China
1042,Varaha ClimateAg Private Limited,Agriculture Forestry and Other Land Use,DEVELOPING VOLUNTARY CARBON MARKET  PROJECT FOR FARMERS ADOPTNG  ALTERNATE WETTING AND DRYING (AWD)  METHOD FOR RICE CULTIVATION,Inactive,48853,India
1043,Green Impact Limited Company,Energy demand,"Distribution of Improved Cookstove in Quang Nam Province, Vietnam",Registered,161687,Viet Nam
1044,Brightspark Energy Pvt. Ltd.,Energy demand,SHINE - Distribution of LED lightbulbs in India-8,Registration and verification approval requested,93755,India
1045,Klabin SA,Agriculture Forestry and Other Land Use,Reforestation for multiple purposes as a means of sustainable development,Withdrawn,2026,Brazil
1046,Partanna Global,Construction; Manufacturing industries,USING DIRECT AIR CAPTURE TO MANUFACTURE CARBON-NEGATIVE  CONCRETE,Registration requested,643321,Bahamas
1047,Worldview International Foundation,Agriculture Forestry and Other Land Use,Blue Carbon Mitigation through Community Based Mangrove Restoration,Under validation,259130,Myanmar
1048,CENTRAFOREST,Agriculture Forestry and Other Land Use,BOUTILI AFFORESTATION & AGROFORESTRY PROJECT,Under validation,5825,Central African Republic
1049,Multiple Proponents,Agriculture Forestry and Other Land Use,Samaúma REDD+ Project,Registration requested,425835,Brazil
1050,Multiple Proponents,Agriculture Forestry and Other Land Use,MOTOR VERDE FORESTRY CARBON PROJECT - GRANDAS DE SALIME (SPAIN),Registration requested,1449,Spain
1051,Forest Carbon Works PBC,Agriculture Forestry and Other Land Use,Chestnut Carbon Conservation Project,Registered,221312,United States
1052,EKI Energy Services Limited,Energy industries (renewable/non-renewable sources),Grouped Captive Solar Project by EKI Energy Services Limited,Under validation,305,India
1053,EKI Energy Services Limited,Energy demand,Improved Cookstove Distribution in Ghana by EKI,Registered,72030,Ghana
1054,Carbon Green Investments Guernsey Limited,Agriculture Forestry and Other Land Use,Chirisa REDD+ Project,Withdrawn,476031,Zimbabwe
1055,Perimeter Forest Limited Partnership,Agriculture Forestry and Other Land Use,Painted Forest Carbon Project,Under validation,266624,Canada
1056,Biosun Ödemis Kati Atik İsleme Enerji ve Cevre San. Tic. A.S,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Ödemis Integrated Solid Waste Management Plant,Registered,187389,Turkey
1057,Multiple Proponents,Transport,iFood Pedal,Under validation,17408,Brazil
1058,MAA RESTORATION LLC,Agriculture Forestry and Other Land Use,Project 1,Rejected by Administrator,1460000,Estonia
1059,Carbon Friendly Pty Ltd.,Agriculture Forestry and Other Land Use,Ground-Truth® Australian Orchards,Rejected by Administrator,232924,Australia
1060,Sichuan Dingfeng State-owned Assets Investment (Group) Co. LTD,Agriculture Forestry and Other Land Use,Sichuan Nanjiang Improved Forest Management Project,Registration requested,33217,China
1061,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Jianyang City,Inactive,57471,China
1062,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in North of Dianjiang County in Chongqing City,Inactive,56373,China
1063,"Chongqing Tanray Technology Co.,Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in South of Dianjiang County in Chongqing City,Inactive,52370,China
1064,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Jintang County,Inactive,56664,China
1065,SilviCarbon Lao Sole Company Ltd.,Agriculture Forestry and Other Land Use,SCALA LAOS AGROFORESTRY PROJECT 2,Under validation,60896,Lao
1066,INNOVENT COMORES S.A,Energy industries (renewable/non-renewable sources),Foumbouni-Mitsamiouli solar farm,Registered,9510,Comoros
1067,Boomitra Inc,Agriculture Forestry and Other Land Use,Boomitra Carbon Farming in East Africa through Soil Enrichment,Registration requested,1249417,Kenya
1068,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Yunmeng County,Inactive,58484,China
1069,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Xiangyin County,Inactive,56756,China
1070,National Forestry and Grassland Administration Northwest Investigation and Planning Institute,Agriculture Forestry and Other Land Use,Tibet Nagqu Improved Grassland Management Project,Registration requested,216689,China
1071,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in West Xiangyin County,Inactive,52230,China
1072,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in East Xiangyin County,Inactive,52230,China
1073,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Pingjiang County,Inactive,54391,China
1074,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in North Pingjiang County,Inactive,41922,China
1075,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in South Pingjiang County,Inactive,36567,China
1076,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Miluo County,Inactive,60000,China
1077,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in West Miluo County,Inactive,46766,China
1078,"Yueyang Agricultural and Rural Development Group Co., Ltd",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in East Miluo County,Inactive,46766,China
1079,Climit,Agriculture Forestry and Other Land Use,Silvopastoral carbon project of Uruguay,Under validation,27731,Uruguay
1080,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Qionglai City,Inactive,58017,China
1081,"Gansu Founder Energy Conservation Sci&Tech Service Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Gansu Ganzhou Biogas Recovery and Utilization Project,Registered,33220,China
1082,MicroEnergy Credits Corp,Energy industries (renewable/non-renewable sources),MicroEnergy Credits – Microfinance for Solar Lamps in Kenya,Verification approval requested,57457,Kenya
1083,Shri Maa Marketing Private Limited,Energy demand,SMG - Cookstove Program 1,Verification approval requested,83186,India
1084,Shri Maa Marketing Private Limited,Energy demand,SMG - Cookstove Program 2,Registration and verification approval requested,90249,India
1085,Shri Maa Marketing Private Limited,Energy demand,SMG - Cookstove Program 3,Registration and verification approval requested,90249,India
1086,Re.Green Participações S.A.,Agriculture Forestry and Other Land Use,RE.GREEN AMAZON FOREST REFORESTATION/RESTORATION PROJECT,Registration requested,978010,Brazil
1087,Multiple Proponents,Agriculture Forestry and Other Land Use,Mindanao Forests for People and Sustainable Livelihoods (MinFor),Under validation,1514344,Philippines
1088,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Dayi County,Inactive,57352,China
1089,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Hongan County,Inactive,58111,China
1090,Outreach Projects Pvt. Ltd.,Energy demand,Cookstove distribution project in India,Under validation,3376316,India
1091,"Suzhou Jiulong Recycling Technology Co., Ltd.",Waste handling and disposal,Suzhou Jiulong PET Recycling Project,Inactive,51647,China
1092,Outreach Projects Pvt. Ltd.,Energy demand,Enhancing Lives of communities by distribution of Cookstoves,Registered,449956,India
1093,Outreach Projects Pvt. Ltd.,Energy demand,Grouped Cookstove distribution project in India,Under validation,3376316,India
1094,Santo Stefano Srl,Agriculture Forestry and Other Land Use,OLIVE GROVES FOR CARBON FARMING,Rejected by Administrator,40414,Italy
1095,"Qingdao Gangya New Energy Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,Jiaozhou Landfill Gas Recovery Project,Registered,70457,China
1096,Outreach Projects Pvt. Ltd.,Energy demand,Social development by distribution of Cookstoves in India,Under validation,3376316,India
1097,Outreach Projects Pvt. Ltd.,Energy demand,Social Empowerment by distribution of Cookstoves,Under validation,3376316,India
1098,Shri Maa Marketing Private Limited,Energy demand,SMG - LED Light Program 1,Registered,13402,India
1099,NaturAll Carbon Limited,Agriculture Forestry and Other Land Use,NaturAll Carbon Program – Conservation Agriculture and Land Management in Brazil,Registration and verification approval requested,1562585,Brazil
1100,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Qichun County,Inactive,59064,China
1101,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,Hongze-1 Water Management with Rice Cultivation,Inactive,59554,China
1102,"Shenzhen Cypress Carbon Environmental Technology Service Co., Ltd",Agriculture Forestry and Other Land Use,Hongze-2 Water Management with Rice Cultivation,Inactive,59806,China
1103,MAA RESTORATION LLC,Agriculture Forestry and Other Land Use,Project 2,Rejected by Administrator,1460000,Estonia
1104,ARINMA HOLDINGS PVT (LTD,Agriculture Forestry and Other Land Use,Upscaling Livelihoods and Biodiversity Through Community mobilization and lagoon restoration in Anawasala Kalpitiya,Rejected by Administrator,4960,Sri Lanka
1105,Mudurnu Enerji Sanayi ve Tcaret A.Ş.,Waste handling and disposal,Mudurnu Biogas Energy Power Plant,Registration requested,286090,Turkey
1106,GEAPP ServiceCO (India) Private Limited,Energy industries (renewable/non-renewable sources),Distributed Renewable Energy Program for People and Planet,Registration requested,92663,India
1107,Re.Green Participações S.A.,Agriculture Forestry and Other Land Use,RE.GREEN ATLANTIC FOREST REFORESTATION/RESTORATION PROJECT,Registration requested,487419,Brazil
1108,Enexor BioEnergy,Energy demand; Energy industries (renewable/non-renewable sources); Waste handling and disposal,Enexor Impact USA,Under validation,1448393,United States
1109,"Rivian Automotive, LLC.",Energy distribution; Transport,Rivian EV Charging Network Project,Registration request denied,215671,United States
1110,Dengkou County Yuantai Livestock Industry Co.Ltd.,Waste handling and disposal,Denkoh Dairy Cows Manure Composting Project,Under validation,59553,China
1111,"Harbin Beigen Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Improved cropland management project in Noorgandusi,Under validation,1326616,China
1112,Systemica Inteligência em Sustentabilidade S.A.,Agriculture Forestry and Other Land Use,Triunfo do Xingu Grouped REDD+ Project,Registration requested,110887,Brazil
1113,CARBON CREDITS CONSULTING S.R.L.,Agriculture Forestry and Other Land Use,Selva de Urundel REDD+ Project,Registration and verification approval requested,317475,Argentina
1114,Multiple Proponents,Agriculture Forestry and Other Land Use,YICHENG -1 ADJUSTED WATER MANAGEMENT IN RICE CULTIVATION,Rejected by Administrator,59605,China
1115,"Sichuan Huixiang Ecological Agriculture Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation in Xindu District,Inactive,55533,China
1116,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Xishui County,Inactive,58296,China
1117,Bosques Cautin S.A.,Agriculture Forestry and Other Land Use,BOSQUES CAUTIN S.A. FOREST CARBON PROJECT CONVERSION OF LOGGED TO PROTECTED FOREST PROJECT,Registration requested,237382,Chile
1118,Multiple Proponents,Agriculture Forestry and Other Land Use,Corridors for Life ARR Grouped Project,Registered,584276,Brazil
1119,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Macheng City,Inactive,56795,China
1120,"Wuhan Haimingsen Environmental Protection Technology Co., Ltd.",Agriculture Forestry and Other Land Use,Adjusted Water Management in Rice Cultivation In Luotian County,Inactive,58140,China
